10,493,188.3794888,1152,Zero
8,544,183.875812,1151,Zero
3,422,191.3109596,1249,Zero
9,442,191.2080569,1174,Zero
7,606,185.5438769,1152,Zero
8,501,158.0480671,1152,Zero
10,494,182.1708379,1197,Zero
8,649,188.5374229,1152,Zero
7,701,179.9617234,1152,One
6,655,147.261363,1152,One
14,764,166.1652251,1151,One
9,609,183.09596,1158,One
9,670,168.1782693,1152,One
5,667,170.362867,1150,One
5,712,126.1029346,1151,One
7,634,210.304113,1152,One
9,531,173.6620014,1152,One
7,585,172.8188172,1151,One
